,name,data,scale,location,location1,latitude,longitude,average_irradiance,total_irradiance,path
0,"A Ritchie, 107 Rosehill Dr, Aberdeen test_1.png",test,70,"09°50""N2°08'12""W","09°50""N 2°08'12""W ",9.0139,-2.1367,5.24,1745.82,"/content/ai_project/runs/1712486411/satellite_images/A Ritchie, 107 Rosehill Dr, Aberdeen test_1.png"
1,"Ainslie Park Leisure Centre, Edinburgh test_1.png",test,70,"55°58'18""N3°13'50""W","55°58'18""N 3°13'50""W ",55.9717,-3.2306,2.55,852.16,"/content/ai_project/runs/1712486411/satellite_images/Ainslie Park Leisure Centre, Edinburgh test_1.png"
2,"Aviemore Kart Raceway, Aviemore test_1.png",test,70,NA,NA,NA,NA,NA,NA,"/content/ai_project/runs/1712486411/satellite_images/Aviemore Kart Raceway, Aviemore test_1.png"
3,"Banchory Academy, Banchory test_1.png",test,70,"57°03'11""N2°29'27""W","57°03'11""N 2°29'27""W ",57.0531,-2.4908,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Banchory Academy, Banchory test_1.png"
4,"Booker Glasgow, Glasgow test_1.png",test,70,"55°52'36""N4°15'10""W","55°52'36""N 4°15'10""W ",55.8767,-4.2528,2.54,849.59,"/content/ai_project/runs/1712486411/satellite_images/Booker Glasgow, Glasgow test_1.png"
5,"Brewsterwells Crematorium Ltd, Leven test_1.png",test,70,"56°16'23""N2°50'20""W","56°16'23""N 2°50'20""W ",56.2731,-2.8389,2.49,830.36,"/content/ai_project/runs/1712486411/satellite_images/Brewsterwells Crematorium Ltd, Leven test_1.png"
6,"Bridge of Don Country Club, Glashieburn test_1.png",test,70,"57°11'36""N2°06'32""W","57°11'36""N 2°06'32""W ",57.1933,-2.1089,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Bridge of Don Country Club, Glashieburn test_1.png"
7,"Bristow, HM Coastguard SAR, Inverness test_1.png",test,70,"57°32'16""N4°02'52""W","57°32'16""N 4°02'52""W ",57.5378,-4.0478,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/Bristow, HM Coastguard SAR, Inverness test_1.png"
8,"Clyde Auto Repairs, Glasgow test_1.png",test,200,"55°52'27""N4°20'48""W","55°52'27""N 4°20'48""W ",55.8742,-4.3467,2.54,849.59,"/content/ai_project/runs/1712486411/satellite_images/Clyde Auto Repairs, Glasgow test_1.png"
9,"D M Forklifts, Lyndon, Stonehaven test_1.png",test,70,"56°56'11""N2°14'02""W","56°56'11""N 2°14'02""W ",56.9364,-2.2339,2.49,830.36,"/content/ai_project/runs/1712486411/satellite_images/D M Forklifts, Lyndon, Stonehaven test_1.png"
10,"Dark Trinity Art Tattoo Studio, Aviemore test_1.png",test,70,"57°12'09""N3°49'07""W","57°12'09""N 3°49'07""W ",57.2025,-3.8186,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Dark Trinity Art Tattoo Studio, Aviemore test_1.png"
11,"East Sands Leisure Centre, St Andrews test_1.png",test,70,"19°58""N2°46'46""W","19°58""N 2°46'46""W ",19.0161,-2.7794,6.32,2104.26,"/content/ai_project/runs/1712486411/satellite_images/East Sands Leisure Centre, St Andrews test_1.png"
12,"Flowers With Flair, Aberdeen test_1.png",test,70,"57°11'31""N2°07'50""W","57°11'31""N 2°07'50""W ",57.1919,-2.1306,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Flowers With Flair, Aberdeen test_1.png"
13,"Foxnose, Partick, Glasgow test_1.png",test,70,"55°52'20""N4°18'57""W","55°52'20""N 4°18'57""W ",55.8722,-4.3158,2.54,849.59,"/content/ai_project/runs/1712486411/satellite_images/Foxnose, Partick, Glasgow test_1.png"
14,"IKEA Edinburgh, Costkea Way test_1.png",test,70,"52°47""N3°10'06""W","52°47""N 3°10'06""W ",52.0131,-3.1683,2.75,917.61,"/content/ai_project/runs/1712486411/satellite_images/IKEA Edinburgh, Costkea Way test_1.png"
15,"Jewson Aberdeen, Aberdeen test_1.png",test,1000,"57°10'30""N2°06'35""W","57°10'30""N 2°06'35""W ",57.175,-2.1097,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Jewson Aberdeen, Aberdeen test_1.png"
16,"Millburn Academy, Inverness test_1.png",test,70,"57°28'49""N4°12'33""W","57°28'49""N 4°12'33""W ",57.4803,-4.2092,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/Millburn Academy, Inverness test_1.png"
17,"Murrayburn Primary School, Edinburgh test_1.png",test,70,"55°55'21""N3°16'53""W","55°55'21""N 3°16'53""W ",55.9225,-3.2814,2.55,852.16,"/content/ai_project/runs/1712486411/satellite_images/Murrayburn Primary School, Edinburgh test_1.png"
18,"Nucore Group, Aberdeen test_1.png",test,70,"11°55""N2°04'36""W","11°55""N 2°04'36""W ",11.0153,-2.0767,5.66,1883.68,"/content/ai_project/runs/1712486411/satellite_images/Nucore Group, Aberdeen test_1.png"
19,"OVO Hydro, Glasgow test_1.png",test,70,NA,NA,NA,NA,NA,NA,"/content/ai_project/runs/1712486411/satellite_images/OVO Hydro, Glasgow test_1.png"
20,"Pilton Youth & Children_s Project, Edinburgh test_1.png",test,70,"55°58'22""N3°14'30""W","55°58'22""N 3°14'30""W ",55.9728,-3.2417,2.55,852.16,"/content/ai_project/runs/1712486411/satellite_images/Pilton Youth & Children_s Project, Edinburgh test_1.png"
21,"Robroyston Retail Park, Glasgow test_1.png",test,30,"55°53'26""N4°10'55""W","55°53'26""N 4°10'55""W ",55.8906,-4.1819,2.54,849.59,"/content/ai_project/runs/1712486411/satellite_images/Robroyston Retail Park, Glasgow test_1.png"
22,"St Andrews Golf Company Ltd., Leven test_1.png",test,70,"56°15'30""N2°51'26""W","56°15'30""N 2°51'26""W ",56.2583,-2.8572,2.49,830.36,"/content/ai_project/runs/1712486411/satellite_images/St Andrews Golf Company Ltd., Leven test_1.png"
23,"Sterling Home, Aberdeen test_1.png",test,70,"57°11'26""N2°05'28""W","57°11'26""N 2°05'28""W ",57.1906,-2.0911,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/Sterling Home, Aberdeen test_1.png"
24,"String Sports, Glasgow test_1.png",test,70,"55°53'53""N4°19'30""W","55°53'53""N 4°19'30""W ",55.8981,-4.325,2.54,849.59,"/content/ai_project/runs/1712486411/satellite_images/String Sports, Glasgow test_1.png"
25,"Tesco Petrol Station, Dores Rd, Inverness test_1.png",test,70,NA,NA,NA,NA,NA,NA,"/content/ai_project/runs/1712486411/satellite_images/Tesco Petrol Station, Dores Rd, Inverness test_1.png"
26,"The Seafood Ristorante, St Andrews test_1.png",test,70,"56°20'37""N2°48'00""W","56°20'37""N 2°48'00""W ",56.3436,-2.8,2.49,830.36,"/content/ai_project/runs/1712486411/satellite_images/The Seafood Ristorante, St Andrews test_1.png"
27,"UPS, 30 S Gyle Cres, Edinburgh test_1.png",test,70,"55°55'56""N3°18'20""W","55°55'56""N 3°18'20""W ",55.9322,-3.3056,2.55,852.16,"/content/ai_project/runs/1712486411/satellite_images/UPS, 30 S Gyle Cres, Edinburgh test_1.png"
28,"aberdeen science centre, aberdeen train_1.png",train,70,"57°09'11""N2°05'04""W","57°09'11""N 2°05'04""W ",57.1531,-2.0844,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/aberdeen science centre, aberdeen train_1.png"
29,"aberdeen sports village, aberdeen train_1.png",train,70,"57°09'42""N2°05'36""W","57°09'42""N 2°05'36""W ",57.1617,-2.0933,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/aberdeen sports village, aberdeen train_1.png"
30,"arden court, inverness test_1.png",test,70,"57°28'22""N4°11'43""W","57°28'22""N 4°11'43""W ",57.4728,-4.1953,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/arden court, inverness test_1.png"
31,asda aberdeen beach train_1.png,train,70,NA,NA,NA,NA,NA,NA,/content/ai_project/runs/1712486411/satellite_images/asda aberdeen beach train_1.png
32,"bp, Dunnottar Ave, Stonehaven test_1.png",test,70,NA,NA,NA,NA,NA,NA,"/content/ai_project/runs/1712486411/satellite_images/bp, Dunnottar Ave, Stonehaven test_1.png"
33,"edward wright building, aberdeen train_1.png",train,70,"57°09'58""N2°06'02""W","57°09'58""N 2°06'02""W ",57.1661,-2.1006,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/edward wright building, aberdeen train_1.png"
34,"harlaw academy, aberdeen train_1.png",train,70,"57°08'32""N2°07'00""W","57°08'32""N 2°07'00""W ",57.1422,-2.1167,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/harlaw academy, aberdeen train_1.png"
35,"jump in adventure park, aberdeen train_1.png",train,70,"57°07'26""N2°05'52""W","57°07'26""N 2°05'52""W ",57.1239,-2.0978,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/jump in adventure park, aberdeen train_1.png"
36,"king's pavilion, aberdeen train_1.png",train,70,"57°09'49""N2°06'00""W","57°09'49""N 2°06'00""W ",57.1636,-2.1,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/king's pavilion, aberdeen train_1.png"
37,"lidl, king street, aberdeen train_1.png",train,70,"57°10'24""N2°05'33""W","57°10'24""N 2°05'33""W ",57.1733,-2.0925,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/lidl, king street, aberdeen train_1.png"
38,"maritime and coastguard agency, aberdeen train_1.png",train,70,"57°08'39""N2°05'15""W","57°08'39""N 2°05'15""W ",57.1442,-2.0875,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/maritime and coastguard agency, aberdeen train_1.png"
39,"parcelforce worldwide, inverness test_1.png",test,70,"57°29'13""N4°13'33""W","57°29'13""N 4°13'33""W ",57.4869,-4.2258,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/parcelforce worldwide, inverness test_1.png"
40,"screwfix inverness, inverness test_1.png",test,70,"57°29'10""N4°13'29""W","57°29'10""N 4°13'29""W ",57.4861,-4.2247,2.39,799.09,"/content/ai_project/runs/1712486411/satellite_images/screwfix inverness, inverness test_1.png"
41,"south house, aberdeen train_1.png",train,70,"57°10'27""N2°06'06""W","57°10'27""N 2°06'06""W ",57.1742,-2.1017,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/south house, aberdeen train_1.png"
42,"st mary's building, university of aberdeen train_1.png",train,70,"57°09'59""N2°0610""W","57°09'59""N 2°0610""W ",57.1664,-2.1694,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/st mary's building, university of aberdeen train_1.png"
43,"torry medical practice, aberdeen train_1.png",train,70,"57°08'04""N2°05'18""W","57°08'04""N 2°05'18""W ",57.1344,-2.0883,2.52,842.79,"/content/ai_project/runs/1712486411/satellite_images/torry medical practice, aberdeen train_1.png"
